== MiniMind-Embedding 训练 (stage2, embed_dense_64m) ==
[load_pretrained_backbone] 已加载 /root/minimind-embeddings/checkpoints/embedding/embedding_stage1_768.pth
  完整加载: 93 个参数
  部分加载: 0 个(vocab 扩展,前 6400 行已拷贝)
  跳过:     0 个(embedding 模型忽略 lm_head / rerank 缺 head 属正常)
参数量: 64.5M
[HFEmbeddingDataset] 加载 sentence-transformers/t2ranking (config=triplet-15) split=train ...
[HFEmbeddingDataset] 共 340111 条
总步数: 63768, batch=16, accum=1
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: qinganli (qinganli-personal) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run w6li4xpj
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /root/minimind-embeddings/wandb/run-20260728_122846-w6li4xpj
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run cloud_stage2_FINAL_batch16_w128
wandb: ⭐️ View project at https://wandb.ai/qinganli-personal/minimind-embedding
wandb: 🚀 View run at https://wandb.ai/qinganli-personal/minimind-embedding/runs/w6li4xpj
[wandb] 已启用,project=minimind-embedding run=cloud_stage2_FINAL_batch16_w128
epoch 0 step 100/63768 loss 1.6925 lr 1.00e-05
epoch 0 step 200/63768 loss 1.5600 lr 1.00e-05
epoch 0 step 300/63768 loss 1.5486 lr 1.00e-05
epoch 0 step 400/63768 loss 1.5625 lr 1.00e-05
epoch 0 step 500/63768 loss 1.5536 lr 1.00e-05
epoch 0 step 600/63768 loss 1.5400 lr 1.00e-05
epoch 0 step 700/63768 loss 1.5061 lr 1.00e-05
epoch 0 step 800/63768 loss 1.4977 lr 1.00e-05
epoch 0 step 900/63768 loss 1.5682 lr 1.00e-05
epoch 0 step 1000/63768 loss 1.4720 lr 9.99e-06
epoch 0 step 1100/63768 loss 1.5576 lr 9.99e-06
epoch 0 step 1200/63768 loss 1.5124 lr 9.99e-06
epoch 0 step 1300/63768 loss 1.5329 lr 9.99e-06
epoch 0 step 1400/63768 loss 1.5212 lr 9.99e-06
epoch 0 step 1500/63768 loss 1.4948 lr 9.99e-06
epoch 0 step 1600/63768 loss 1.5088 lr 9.99e-06
epoch 0 step 1700/63768 loss 1.4944 lr 9.98e-06
epoch 0 step 1800/63768 loss 1.4984 lr 9.98e-06
epoch 0 step 1900/63768 loss 1.4742 lr 9.98e-06
epoch 0 step 2000/63768 loss 1.5191 lr 9.98e-06
epoch 0 step 2100/63768 loss 1.4612 lr 9.98e-06
epoch 0 step 2200/63768 loss 1.5272 lr 9.97e-06
epoch 0 step 2300/63768 loss 1.5242 lr 9.97e-06
epoch 0 step 2400/63768 loss 1.4913 lr 9.97e-06
